name,KSgt,KSest,notes,err,success
All-the-Things-You-Are,-3,-4.0,854,63,92.62
Alone-Together,,-1.0,838,16,98.09
Apple-Jump,,-1.0,1051,52,95.05
Autumn-Leaves,,-2.0,869,30,96.55
Blues-By-Five,,-1.0,854,53,93.79
Bye-Bye-Blackbird,,-1.0,979,39,96.02
C-Jam-Blues,,0.0,773,14,98.19
Come-Rain-or-Come-Shine,,-1.0,1061,63,94.06
Cottontail,-2,-1.0,1444,53,96.33
Dear-Old-Stockholm,,-1.0,981,9,99.08
Dolphin-dance,,-3.0,1078,79,92.67
Doxy,-2,-3.0,981,17,98.27
For-Regulars-Only,,-5.0,1151,42,96.35
Four,-3,-6.0,1471,248,83.14
Fried-Bananas,-3,-2.0,1248,12,99.04
Gone-with-the-wind,-3,-2.0,1046,61,94.17
Have-You-Met-Miss-Jones,,-1.0,1463,190,87.01
Honeysuckle-Rose,-1,0.0,1075,56,94.79
I-ll-Remember-April,,1.0,1398,26,98.14
In-Your-Own-Sweet-Way,-3,-2.0,800,40,95.00
In-a-Mellow-Tone,,-4.0,961,60,93.76
Invitation,-3,-2.0,1238,168,86.43
Isotope,,0.0,1225,85,93.06
Just-Friends,,-1.0,1235,75,93.93
Ladybird,0,-3.0,1321,23,98.26
Milestones,-3,-4.0,1025,56,94.54
Montmartre,,-5.0,1270,117,90.79
Namely-You,,-2.0,894,22,97.54
Nows-the-time,,-1.0,1201,22,98.17
Oleo,,-2.0,1403,83,94.08
On-Green-Dolphin-Street,-3,-6.0,1286,35,97.28
Out-of-the-Night,,-4.0,775,13,98.32
Parisian-Thoroughfare,,-1.0,1320,45,96.59
Pennies-from-Heaven,,0.0,723,39,94.61
Satin-Doll,,0.0,1064,54,94.92
Scrapple-From-the-Apple,,-1.0,1324,44,96.68
Sonnymoon-for-Two,,-2.0,871,19,97.82
Soon,,-3.0,1139,21,98.16
Star-Eyes,-3,-2.0,1348,25,98.15
Stella-By-Starlight,,-2.0,1325,24,98.19
Step-Lightly,,0.0,738,36,95.12
Sweet-Georgia-Brown,,-4.0,936,18,98.08
Take-the-A-Train,,0.0,1145,11,99.04
Tangerine,-1,-2.0,1433,31,97.84
The-Rainbow-People,-3,-2.0,857,28,96.73
There-will-never-be-another-you,,-3.0,1403,39,97.22
Three-Little-Words,,0.0,1424,77,94.59
UMMG,,-5.0,1279,389,69.59
,48,33.0,53578,2822,nan
,,68.75,,,94.73
