 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:1:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 6+0+4:3:0:0:3, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+4:0:0:0:0, 3+0+2:2:0:0:2, 6+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 4+0+4:1:0:0:1, 4+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 91+0+58:7:1:0:8
A minor (0), 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 4+0+3:1:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:1, 2+0+3:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:1:0:0:1, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 1+0+0:0:0:0:0, 6+0+4:3:0:0:3, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 5+0+4:1:0:0:0, 4+0+3:0:0:0:0, 4+1+6:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 4+0+4:1:0:0:1, 4+0+3:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 88+1+78:7:0:0:8
F major (1b), 0+0+0:0:0:0:0, 2+0+2:0:1:0:1, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 4+0+2:0:1:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:1:0:1, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 5+0+4:3:0:0:3, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:1:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 6+0+3:0:2:0:0, 3+0+3:1:0:0:1, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:1:0:0, 0+0+0:0:0:0:0,  , 3+0+4:1:0:0:1, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 66+0+60:6:6:0:10
G major (1#), 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 5+0+2:0:0:0:1, 0+0+0:0:0:0:0, 3+0+3:1:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:1, 3+0+3:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:1:0:0:1, 5+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 8+0+5:1:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 4+0+0:0:0:0:0, 1+0+2:0:0:0:0, 4+0+4:1:0:0:0, 4+0+3:0:0:0:0, 5+1+6:0:0:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 5+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 4+0+4:1:0:0:1, 5+0+3:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 124+1+76:6:0:0:6
D minor (1b), 0+0+0:0:0:0:0, 2+0+1:0:1:0:1, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 4+0+2:0:1:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:1:0:1, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 5+0+4:3:0:0:3, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:1:0:0:1, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 6+0+4:1:2:0:2, 3+0+3:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:1:0:1, 0+0+0:0:0:0:0,  , 3+0+4:1:0:0:1, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 67+0+58:6:6:0:12
E minor (1#), 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 4+0+3:0:0:0:0, 4+0+1:0:0:0:0, 5+0+2:0:0:0:1, 0+0+0:0:0:0:0, 3+0+3:1:0:0:0, 3+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:1:0:0:1, 5+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 6+0+5:2:0:0:3, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 4+0+4:0:0:0:0, 4+0+1:0:0:0:0, 3+0+4:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 4+0+0:0:0:0:0, 1+0+2:0:0:0:0, 4+0+4:1:0:0:0, 4+0+3:0:0:0:0, 5+1+6:0:0:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 5+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+4:0:0:0:2, 5+0+4:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 122+1+83:6:0:0:10
Bb major (2b), 1+0+0:0:0:0:0, 3+0+2:0:1:0:1, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 1+0+0:0:0:0:0, 4+0+2:0:1:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:1:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:1:0:0:1, 0+0+0:0:0:0:0, 7+0+4:1:0:0:1, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:1:0:0:1, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 5+0+3:0:2:0:0, 2+0+3:1:0:0:1, 5+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:1:0:0, 1+0+1:0:0:0:0,  , 3+0+3:0:1:0:2, 4+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 75+0+51:4:7:0:8
D major (2#), 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 5+0+1:0:0:0:0, 5+0+2:0:0:0:1, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:1:0:1, 6+0+1:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+0:0:0:0:0, 7+0+4:2:0:0:2, 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 5+0+2:1:0:0:1, 3+0+1:0:0:0:0, 3+0+5:0:0:0:0, 2+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+4:0:0:0:0, 4+0+3:0:0:0:0, 7+0+4:2:2:0:2, 3+0+1:0:0:0:0, 1+0+3:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 5+0+4:1:0:0:1, 6+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 148+0+76:6:3:0:8
G minor (2b), 1+0+2:0:0:0:0, 3+0+1:0:1:0:1, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 4+0+2:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:1:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:1:0:0:1, 0+0+0:0:0:0:0, 7+0+5:1:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:1:0:0:1, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 5+0+3:0:2:0:0, 2+0+3:1:0:0:1, 5+0+3:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:1:0:0, 1+0+0:0:0:0:0,  , 3+0+3:0:1:0:1, 4+0+3:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 76+0+57:4:7:0:6
B minor (2#), 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 5+0+1:0:0:0:0, 5+0+2:0:0:0:1, 1+0+0:0:0:0:0, 2+0+2:1:0:0:0, 3+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:1:0:1, 6+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 7+0+4:2:0:0:2, 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 5+0+4:0:0:0:0, 3+0+1:0:0:0:0, 3+0+5:0:0:0:0, 2+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+5:1:0:0:0, 3+0+2:1:0:0:1, 7+0+4:2:2:0:2, 3+0+1:0:0:0:0, 1+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 5+0+4:1:0:0:1, 6+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 147+0+78:8:3:0:8
