 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, rowcost
C major (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 227+0:0:2:0:13
A minor (0), 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 5+0:0:1:0:5, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 5+0:0:1:0:5, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:2, 4+1:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+1:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:1, 8+0:0:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:2, 6+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:2, 6+1:0:0:0:1, 3+0:0:0:0:1, 7+0:0:0:0:3, 7+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 268+3:0:2:0:116
F major (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 177+0:7:2:0:9
G major (1#), 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 5+0:4:0:0:2, 4+0:2:0:0:0, 5+0:5:1:0:3, 2+0:2:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 5+0:4:0:0:2, 4+0:2:0:0:0, 5+0:5:1:0:3, 2+0:2:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:0, 2+0:1:0:0:0, 4+0:3:0:0:0, 3+0:3:0:0:1, 6+0:4:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 6+0:3:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+0:3:0:0:0, 3+0:3:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:0, 6+0:4:0:0:1, 5+0:3:0:0:1, 7+0:3:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:0, 5+0:3:0:0:0, 6+0:2:0:0:0, 4+0:3:0:0:1, 6+0:3:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:1, 2+0:1:0:0:0, 4+0:3:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 6+0:3:0:0:0, 7+0:4:0:0:0, 3+0:2:0:0:0, 6+0:4:1:0:2, 5+0:3:0:0:2, 5+0:3:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 282+0:187:3:0:30
D minor (1b), 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:1:0:4, 4+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:1:0:4, 4+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 5+0:1:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:2, 6+0:1:0:0:1, 6+0:1:0:0:2, 4+0:0:0:0:1, 5+0:1:1:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:2, 4+0:1:1:0:2, 6+0:0:0:0:2, 1+0:0:0:0:1, 5+0:1:0:0:2, 5+0:2:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 218+0:16:4:0:72
E minor (1#), 4+0:2:0:0:2, 4+0:2:0:0:2, 5+0:3:0:0:3, 5+0:2:0:0:2, 4+0:3:0:0:3, 5+0:4:0:0:4, 5+0:2:0:0:2, 5+0:5:1:0:5, 2+0:2:0:0:2, 5+0:1:0:0:1, 5+0:3:0:0:3, 1+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 5+0:3:0:0:3, 5+0:2:0:0:2, 4+0:3:0:0:3, 5+0:4:0:0:4, 5+0:2:0:0:2, 5+0:5:1:0:5, 2+0:2:0:0:2, 5+0:1:0:0:1, 5+0:3:0:0:3, 3+0:1:0:0:1, 5+0:1:0:0:1, 3+0:3:0:0:3, 7+0:4:0:0:4, 5+0:3:0:0:3, 4+0:3:0:0:3, 3+0:3:0:0:3, 7+0:3:0:0:3, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 6+0:3:0:0:3, 3+0:3:0:0:3, 6+0:2:0:0:2, 6+0:2:0:0:2, 6+0:4:0:0:4, 5+0:3:0:0:3, 8+0:3:0:0:3, 4+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:3:0:0:3, 4+0:1:0:0:1, 6+0:4:0:0:4, 5+0:2:0:0:2, 6+0:2:0:0:2, 7+0:2:0:0:2, 4+0:3:0:0:3, 6+0:3:0:0:3, 4+0:2:0:0:2, 5+0:2:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 5+0:3:0:0:3, 4+0:2:0:0:2, 5+0:3:0:0:3, 7+0:3:0:0:3, 8+0:4:0:0:4, 4+0:2:0:0:2, 6+0:4:1:0:5, 5+0:3:0:0:3, 6+0:3:0:0:3, 4+0:2:0:0:2, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 332+0:174:3:0:175
Bb major (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 131+0:6:3:0:23
D major (2#), 4+0:2:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:1, 4+0:3:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:1, 5+0:5:1:0:4, 3+0:2:0:0:0, 5+0:2:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:1, 4+0:3:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:1, 5+0:5:1:0:4, 3+0:2:0:0:0, 5+0:2:0:0:0, 4+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 7+0:4:0:0:2, 5+0:3:0:0:2, 5+0:3:0:0:1, 3+0:3:0:0:1, 7+0:3:0:0:1, 2+0:1:0:0:1, 3+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:2, 4+0:3:0:0:1, 6+0:2:0:0:2, 6+0:2:0:0:1, 6+0:4:0:0:2, 6+0:3:0:0:1, 7+0:3:1:0:2, 4+0:2:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 5+0:2:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 5+0:2:0:0:1, 4+0:3:0:0:1, 7+0:3:0:0:1, 4+0:2:0:0:1, 4+0:3:0:0:1, 3+0:2:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:2, 4+0:2:0:0:0, 4+0:3:0:0:2, 6+0:3:1:0:2, 8+0:4:0:0:2, 3+0:2:0:0:1, 6+0:4:1:0:3, 5+0:3:0:0:1, 6+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:1, 4+0:2:0:0:0, 3+0:2:0:0:1, 323+0:183:5:0:73
G minor (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 3+0:1:0:0:0, 6+0:1:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:1:0:2, 3+0:1:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 186+0:6:4:0:30
B minor (2#), 4+0:2:0:0:3, 4+0:2:0:0:3, 5+0:3:0:0:4, 5+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:2:0:0:3, 5+0:5:1:0:5, 4+0:2:0:0:2, 6+0:1:0:0:2, 4+0:3:0:0:4, 2+0:1:0:0:1, 4+0:2:0:0:3, 4+0:2:0:0:3, 5+0:3:0:0:4, 5+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:2:0:0:3, 5+0:5:1:0:5, 4+0:2:0:0:2, 6+0:1:0:0:2, 4+0:3:0:0:4, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:3:0:0:3, 7+0:4:0:0:5, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:3:0:0:3, 7+0:3:0:0:5, 2+0:1:0:0:2, 2+0:1:0:0:1, 4+0:1:0:0:2, 3+0:2:0:0:3, 4+0:1:0:0:2, 5+0:3:0:0:4, 5+0:3:0:0:3, 6+0:2:0:0:3, 6+0:2:0:0:3, 6+0:4:0:0:5, 7+0:3:0:0:4, 7+0:3:1:0:4, 4+0:2:0:0:3, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:3:0:0:4, 6+0:1:0:0:2, 5+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 5+0:2:0:0:3, 4+0:3:0:0:4, 8+0:3:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:2, 4+0:1:0:0:2, 5+0:3:0:0:4, 4+0:1:0:0:2, 4+0:3:0:0:4, 6+0:3:1:0:5, 8+0:4:0:0:5, 3+0:2:0:0:3, 6+0:4:1:0:4, 6+0:3:0:0:3, 6+0:3:0:0:4, 5+0:2:0:0:3, 2+0:1:0:0:1, 5+0:1:0:0:2, 3+0:2:0:0:3, 5+0:1:0:0:2, 3+0:2:0:0:3, 337+0:168:5:0:229
