 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, rowcost
C major (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:2, 5+0:0:0:0:1, 3+0:0:0:0:1, 7+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 332+0:0:8:0:31
A minor (0), 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 7+0:0:1:0:3, 4+0:0:0:0:2, 6+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:1:0:4, 5+0:0:0:0:2, 3+0:0:0:0:1, 6+1:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:2, 6+0:0:1:0:4, 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 8+0:0:0:0:4, 3+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:3, 7+0:0:1:0:3, 3+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 2+0:0:0:0:1, 6+0:0:0:0:3, 5+0:0:1:0:4, 2+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 7+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 7+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 8+0:0:0:0:4, 5+0:0:0:0:2, 7+0:0:1:0:5, 4+0:0:0:0:3, 4+0:0:1:0:3, 3+0:0:0:0:2, 5+0:0:1:0:3, 6+0:0:0:0:3, 4+0:0:0:0:1, 2+0:0:0:0:1, 7+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 374+1:0:8:0:183
F major (1b), 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 270+0:3:8:0:11
G major (1#), 4+0:2:0:0:0, 4+0:3:0:0:1, 5+0:4:0:0:1, 3+0:2:0:0:0, 5+0:4:0:0:1, 7+0:5:1:0:2, 4+0:3:0:0:0, 7+0:5:0:0:2, 5+0:4:0:0:1, 5+0:5:1:0:3, 5+0:3:0:0:0, 4+0:3:0:0:1, 8+0:5:0:0:0, 4+0:3:0:0:1, 5+0:4:0:0:1, 5+0:4:0:0:1, 4+0:2:0:0:0, 4+0:3:0:0:1, 5+0:4:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:1, 5+0:2:0:0:1, 2+0:1:0:0:0, 1+0:1:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:0, 2+0:1:0:0:0, 5+0:4:0:0:2, 5+0:4:0:0:1, 3+0:2:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:0:0:2, 7+0:4:0:0:1, 3+0:3:0:0:1, 4+0:4:0:0:1, 4+0:3:0:0:1, 7+0:6:1:0:3, 3+0:3:0:0:1, 4+0:3:0:0:1, 5+0:4:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 6+0:4:0:0:2, 5+0:5:1:0:2, 3+0:2:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:1, 3+0:2:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 7+0:5:0:0:1, 4+0:2:0:0:0, 6+0:3:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:0:0:2, 7+0:4:0:0:1, 3+0:3:0:0:0, 7+0:6:1:0:3, 5+0:3:0:0:1, 4+0:4:1:0:3, 2+0:2:0:0:0, 5+0:4:1:0:2, 7+0:5:0:0:1, 4+0:2:0:0:0, 4+0:3:0:0:1, 6+0:3:0:0:1, 2+0:2:0:0:0, 3+0:1:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:1, 2+0:2:0:0:1, 2+0:1:0:0:0, 1+0:1:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:0, 6+0:3:0:0:1, 7+0:4:0:0:1, 3+0:3:0:0:0, 4+0:3:0:0:1, 3+0:3:0:0:0, 400+0:283:7:0:71
D minor (1b), 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:1, 4+0:1:0:0:1, 6+0:1:1:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:1:0:3, 5+0:0:0:0:1, 4+0:0:0:0:2, 7+0:0:0:0:2, 2+0:0:0:0:2, 4+0:1:0:0:1, 4+0:0:1:0:3, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 6+0:1:0:0:2, 6+0:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:1:1:0:3, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:1, 2+0:1:0:0:1, 4+0:0:0:0:2, 5+0:0:1:0:3, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 6+0:2:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:1:0:3, 4+0:0:0:0:1, 5+0:1:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 6+0:1:0:0:2, 6+0:0:0:0:3, 6+0:1:0:0:1, 6+0:0:1:0:3, 5+0:0:0:0:2, 3+0:0:1:0:3, 4+0:0:0:0:1, 4+0:0:1:0:2, 6+0:0:0:0:3, 3+0:0:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:1, 5+0:1:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 341+0:14:9:0:139
E minor (1#), 4+0:2:0:0:2, 4+0:3:0:0:3, 6+0:4:0:0:4, 4+0:2:0:0:2, 5+0:3:0:0:3, 7+0:4:1:0:4, 4+0:3:0:0:3, 7+0:5:0:0:5, 5+0:3:0:0:3, 5+0:5:1:0:5, 6+0:2:0:0:2, 4+0:3:0:0:3, 9+0:4:0:0:4, 5+0:3:0:0:3, 5+0:3:0:0:3, 5+0:4:0:0:4, 4+0:2:0:0:2, 4+0:3:0:0:3, 6+0:4:0:0:4, 4+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 2+0:1:0:0:1, 1+0:1:0:0:1, 5+0:1:0:0:1, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:1, 5+0:4:0:0:4, 5+0:4:0:0:4, 3+0:2:0:0:2, 6+0:4:0:0:4, 3+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 7+0:3:0:0:3, 7+0:4:0:0:4, 3+0:3:0:0:3, 4+0:4:0:0:4, 4+0:3:0:0:3, 7+0:4:1:0:4, 3+0:3:0:0:3, 4+0:3:0:0:3, 6+0:4:0:0:4, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:0:0:4, 5+0:4:1:0:4, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 4+0:3:0:0:3, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:2:0:0:2, 4+0:2:0:0:2, 2+0:0:0:0:0, 3+0:2:0:0:2, 6+0:4:0:0:4, 3+0:2:0:0:2, 7+0:5:0:0:5, 4+0:2:0:0:2, 6+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 7+0:3:0:0:3, 7+0:4:0:0:4, 3+0:2:0:0:2, 7+0:6:1:0:6, 5+0:3:0:0:3, 4+0:4:1:0:4, 2+0:2:0:0:2, 5+0:3:1:0:3, 8+0:4:0:0:4, 5+0:2:0:0:2, 4+0:2:0:0:2, 6+0:3:0:0:3, 2+0:2:0:0:2, 3+0:1:0:0:1, 7+0:3:0:0:3, 4+0:2:0:0:2, 3+0:2:0:0:2, 2+0:2:0:0:2, 2+0:1:0:0:1, 1+0:1:0:0:1, 3+0:2:0:0:2, 2+0:2:0:0:2, 3+0:2:0:0:2, 5+0:1:0:0:1, 6+0:3:0:0:3, 7+0:4:0:0:4, 3+0:3:0:0:3, 4+0:3:0:0:3, 3+0:2:0:0:2, 420+0:256:7:0:256
Bb major (2b), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:2, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 226+0:3:9:0:28
D major (2#), 5+0:2:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 3+0:2:0:0:1, 6+0:3:0:0:1, 8+0:4:1:0:2, 5+0:3:0:0:1, 7+0:4:0:0:2, 6+0:4:0:0:2, 5+0:5:1:0:3, 6+0:3:0:0:1, 5+0:3:0:0:2, 9+0:5:0:0:2, 4+0:3:0:0:2, 6+0:3:0:0:1, 5+0:4:0:0:1, 5+0:2:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 3+0:2:0:0:1, 3+0:2:0:0:1, 6+0:2:0:0:2, 3+0:1:0:0:1, 2+0:1:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:2, 4+0:2:0:0:1, 2+0:1:0:0:1, 6+0:4:0:0:2, 6+0:4:0:0:2, 4+0:2:0:0:1, 7+0:4:0:0:2, 4+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:1, 8+0:4:0:0:2, 7+0:4:0:0:2, 4+0:3:0:0:2, 5+0:4:0:0:2, 5+0:3:0:0:2, 7+0:5:1:0:3, 4+0:3:0:0:2, 5+0:3:0:0:1, 6+0:4:0:0:2, 3+0:2:0:0:1, 4+0:2:0:0:1, 6+0:4:0:0:2, 6+0:5:1:0:3, 4+0:2:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:2, 6+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:1, 6+0:4:0:0:2, 4+0:2:0:0:1, 7+0:5:1:0:3, 5+0:2:0:0:1, 7+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 8+0:4:0:0:2, 7+0:4:0:0:2, 4+0:3:0:0:1, 7+0:5:1:0:3, 6+0:3:0:0:2, 4+0:4:1:0:3, 3+0:2:0:0:1, 6+0:4:1:0:2, 8+0:5:0:0:3, 5+0:2:0:0:1, 5+0:2:0:0:1, 6+0:3:0:0:1, 3+0:2:0:0:1, 4+0:1:0:0:0, 7+0:4:0:0:2, 3+0:2:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:1, 7+0:3:0:0:1, 7+0:4:0:0:2, 4+0:3:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:1, 471+0:272:8:0:134
G minor (2b), 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:1:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:1:0:3, 3+0:1:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:1:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:1:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 294+0:6:8:0:72
B minor (2#), 5+0:2:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 3+0:2:0:0:3, 7+0:3:0:0:4, 8+0:4:1:0:5, 5+0:3:0:0:4, 7+0:4:0:0:5, 6+0:3:0:0:4, 5+0:5:1:0:5, 6+0:2:0:0:2, 6+0:3:0:0:4, 9+0:4:0:0:5, 4+0:3:0:0:4, 6+0:3:0:0:4, 5+0:4:0:0:4, 5+0:2:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 3+0:2:0:0:3, 4+0:2:0:0:3, 6+0:2:0:0:2, 3+0:1:0:0:2, 2+0:1:0:0:1, 5+0:1:0:0:2, 5+0:2:0:0:2, 4+0:2:0:0:3, 2+0:1:0:0:2, 6+0:3:0:0:4, 6+0:4:0:0:5, 4+0:2:0:0:3, 7+0:4:0:0:5, 4+0:2:0:0:2, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:3, 8+0:3:0:0:4, 8+0:4:0:0:5, 4+0:3:0:0:3, 5+0:4:0:0:4, 5+0:3:0:0:4, 7+0:4:1:0:4, 4+0:3:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 3+0:2:0:0:3, 4+0:2:0:0:3, 6+0:4:0:0:5, 6+0:4:1:0:4, 5+0:2:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 5+0:3:0:0:4, 6+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:2, 4+0:2:0:0:3, 1+0:0:0:0:1, 5+0:2:0:0:3, 6+0:4:0:0:5, 4+0:2:0:0:3, 7+0:5:1:0:6, 5+0:2:0:0:3, 8+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:3, 8+0:3:0:0:4, 8+0:4:0:0:5, 4+0:2:0:0:2, 7+0:5:1:0:5, 6+0:3:0:0:4, 4+0:4:1:0:4, 3+0:2:0:0:2, 7+0:3:1:0:4, 8+0:4:0:0:5, 5+0:2:0:0:3, 5+0:2:0:0:3, 6+0:3:0:0:4, 3+0:2:0:0:2, 5+0:1:0:0:2, 7+0:3:0:0:4, 3+0:2:0:0:3, 3+0:2:0:0:3, 3+0:2:0:0:2, 3+0:1:0:0:2, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:2, 7+0:2:0:0:3, 7+0:4:0:0:5, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:2:0:0:2, 484+0:252:8:0:325
