 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C major (0), 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+2:2:0:0:2, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+0:0:0:0:0, 6+0+5:0:0:0:0, 5+0+2:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 6+0+5:0:0:0:1, 8+0+5:1:0:0:1, 7+0+7:3:0:0:2, 7+0+6:0:0:0:0, 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 4+0+5:0:0:0:0, 7+0+5:0:0:0:1, 5+0+3:1:0:0:2, 5+0+3:0:0:0:0, 6+0+4:0:0:0:1, 6+0+3:1:0:0:1, 1+0+0:0:0:0:0, 127+0+73:8:0:0:11
A minor (0), 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+3:0:0:0:0, 4+0+2:2:0:0:2, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+1:0:0:0:0, 5+0+5:1:0:0:1, 5+0+4:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+5:2:0:0:2, 8+0+6:1:0:0:1, 7+0+7:3:0:0:2, 7+0+6:0:0:0:0, 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 4+0+3:0:0:0:1, 7+0+7:1:0:0:0, 4+0+2:2:0:0:2, 5+0+7:1:0:0:0, 6+0+4:0:0:0:1, 6+0+3:1:0:0:1, 1+0+0:0:0:0:0, 124+0+84:14:0:0:13
F major (1b), 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 5+0+4:0:2:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2+0+2:0:0:0:0, 5+0+8:0:0:0:0, 4+0+6:0:1:0:1, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 5+0+3:0:2:0:2, 8+0+6:0:1:0:1, 6+0+7:1:0:0:0, 5+0+6:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0,  , 4+0+1:0:1:0:0, 5+0+6:0:0:0:0, 5+0+3:0:0:0:1, 3+0+3:0:0:0:0, 4+0+3:0:0:0:1, 5+0+3:1:0:0:1, 1+0+0:0:0:0:0, 98+0+82:2:7:0:7
G major (1#), 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 4+0+3:0:0:0:0, 5+0+2:2:0:0:2, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:0, 0+0+2:0:0:0:0, 3+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+3:0:0:0:0, 4+0+5:1:0:0:1, 6+0+4:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 7+0+6:0:0:0:1, 7+0+5:3:0:0:3, 8+0+9:1:1:0:1, 8+0+6:0:0:0:1, 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 3+0+3:0:0:0:1, 7+0+6:0:0:0:0, 6+0+4:1:0:0:2, 4+0+4:0:0:0:0, 7+0+4:0:0:0:1, 7+0+5:1:0:0:1, 1+0+0:0:0:0:0, 131+0+85:9:1:0:14
D minor (1b), 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 5+0+4:0:2:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2+0+2:0:0:0:0, 5+0+8:0:0:0:0, 4+0+6:0:1:0:1, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 5+0+3:0:2:0:2, 8+0+6:0:1:0:1, 6+0+7:1:0:0:0, 5+0+6:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 4+0+3:0:1:0:2, 5+0+6:0:0:0:0, 5+0+4:0:0:0:0, 3+0+4:0:0:0:0, 4+0+5:0:0:0:0, 5+0+5:1:0:0:1, 1+0+0:0:0:0:0, 98+0+87:2:7:0:7
E minor (1#), 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 4+0+3:0:0:0:0, 5+0+2:2:0:0:2, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:0, 0+0+2:0:0:0:0, 3+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+3:0:0:0:0, 4+0+5:1:0:0:1, 6+0+6:1:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 7+0+5:0:0:0:1, 9+0+5:1:0:0:1, 8+0+7:3:0:0:2, 8+0+6:0:0:0:0, 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 3+0+3:0:0:0:1, 7+0+6:0:0:0:0, 6+0+5:1:0:0:0, 4+0+4:2:0:0:0, 7+0+5:0:0:0:1, 7+0+5:1:0:0:1, 1+0+0:0:0:0:0, 133+0+86:12:0:0:10
Bb major (2b), 0+0+0:0:0:0:0, 2+0+3:0:0:0:1, 1+0+1:0:0:0:0, 4+0+4:0:2:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1+0+0:0:0:0:0, 4+0+5:0:0:0:0, 3+0+3:0:1:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 6+0+5:0:2:0:1, 6+0+5:1:1:0:1, 4+0+6:1:1:0:1, 4+0+3:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 3+0+5:0:1:0:0, 4+0+5:0:0:0:1, 4+0+3:0:0:0:1, 3+0+3:0:0:0:0, 3+0+3:0:0:0:1, 4+0+3:1:0:0:1, 0+0+0:0:0:0:0, 68+0+70:3:8:0:9
D major (2#), 2+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+1:0:0:0:0, 7+0+4:0:0:0:1, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 2+0+4:0:0:0:0, 0+0+2:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+4:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+1:1:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4+0+3:0:0:0:0, 4+0+5:1:0:0:1, 7+0+6:0:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:0:0:0:0, 9+0+3:0:0:0:0, 11+0+6:0:0:0:0, 8+0+7:3:0:0:2, 9+0+6:0:0:0:0, 0+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 4+0+3:0:0:0:1, 8+0+6:0:0:0:0, 9+0+4:0:0:0:0, 4+0+4:0:0:0:0, 8+0+5:0:0:0:0, 6+0+7:1:0:0:1, 1+0+0:0:0:0:0, 157+0+96:6:0:0:6
G minor (2b), 0+0+0:0:0:0:0, 2+0+3:0:0:0:1, 1+0+1:0:0:0:0, 4+0+4:0:2:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1+0+3:0:0:0:0, 3+0+5:1:0:0:1, 3+0+4:0:1:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 6+0+5:0:2:0:1, 6+0+5:1:1:0:1, 5+0+7:1:0:0:0, 4+0+6:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 3+0+5:0:1:0:0, 4+0+6:0:0:0:0, 3+0+3:1:0:0:2, 3+0+3:0:0:0:0, 3+0+4:0:0:0:1, 4+0+3:1:0:0:1, 0+0+0:0:0:0:0, 67+0+81:5:7:0:8
B minor (2#), 2+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+0:0:0:0:0, 6+0+2:2:0:0:2, 2+0+4:0:0:0:0, 0+0+0:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4+0+3:0:0:0:0, 4+0+5:1:0:0:1, 7+0+6:0:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:0:0:0:0, 9+0+3:0:0:0:0, 11+0+6:0:0:0:0, 8+0+7:3:0:0:2, 9+0+6:0:0:0:0, 0+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 4+0+3:0:0:0:1, 8+0+6:0:0:0:0, 9+0+4:0:0:0:0, 4+0+4:2:0:0:0, 8+0+5:0:0:0:0, 6+0+3:1:0:0:1, 1+0+0:0:0:0:0, 159+0+79:9:0:0:7
