 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+4:0:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+4:0:0:0:1, 1+0+0:0:0:0:0,  , 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+4:0:0:0:1, 2+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:1, 4+0+1:0:0:0:0, 5+0+3:0:1:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:2:0:0:2, 3+0+3:0:0:0:0, 5+0+3:1:0:0:1, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+2:0:0:0:0, 3+0+3:0:0:0:0, 3+0+3:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 111+0+68:3:1:0:7
A minor (0), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 1+0+3:0:0:0:0,  , 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 2+0+4:0:0:0:1,  , 0+0+0:0:0:0:0, 2+0+3:1:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:1, 4+0+5:0:0:0:0, 5+0+3:0:1:0:2, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:1:0:0:0, 4+0+1:0:0:0:0, 4+0+3:3:0:0:2, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:1:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 114+0+66:6:1:0:6
F major (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+4:0:0:0:1, 0+0+0:0:0:0:0,  , 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+4:0:0:0:1, 1+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:1:1:0:1, 3+0+2:0:0:0:0, 4+0+3:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:2:0:0:2, 2+0+1:0:0:0:0, 4+0+3:1:0:0:1, 1+0+4:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 5+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:1:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:1:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 76+0+62:4:4:0:7
G major (1#), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+4:1:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+4:1:0:0:0, 2+0+3:0:0:0:0,  , 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+4:1:0:0:0, 3+0+4:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:1, 4+0+2:0:0:0:0, 5+0+3:0:1:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:2:0:0:2, 3+0+1:0:0:0:0, 3+0+3:2:0:0:2, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:0, 4+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 139+0+76:7:1:0:5
D minor (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 0+0+2:0:0:0:0,  , 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 1+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:1:0:0:0, 1+0+0:0:0:0:0, 3+0+3:1:1:0:1, 3+0+2:0:0:0:0, 4+0+3:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:1:0:0:0, 3+0+1:0:0:0:0, 4+0+3:1:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:1:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:1:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:1:0:1, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 80+0+59:5:4:0:2
E minor (1#), 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 5+0+4:0:0:0:2, 3+0+1:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 5+0+4:0:0:0:2, 3+0+1:0:0:0:0, 2+0+3:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 5+0+4:0:0:0:2, 3+0+1:0:0:0:0, 3+0+4:0:0:0:1,  , 0+0+0:0:0:0:0, 2+0+3:1:0:0:0, 2+0+0:0:0:0:0, 3+0+3:1:0:0:0, 4+0+2:0:0:0:0, 5+0+3:0:1:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:1:0:0:0, 3+0+1:0:0:0:0, 3+0+3:2:0:0:2, 2+0+4:0:0:0:1, 1+0+0:0:0:0:0,  , 3+0+0:0:0:0:0, 2+0+2:2:0:0:0, 4+0+3:0:0:0:0, 4+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 139+0+97:7:1:0:10
Bb major (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 0+0+0:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 1+0+1:0:0:0:0,  , 1+0+0:0:0:0:0, 2+0+3:0:1:0:1, 1+0+1:0:0:0:0, 3+0+3:1:1:0:1, 2+0+2:0:0:0:0, 3+0+3:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:2:0:0:2, 1+0+1:0:0:0:0, 4+0+2:1:0:0:2, 1+0+4:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 4+0+4:0:0:0:2, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:1:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:1:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 70+0+64:7:6:0:10
D major (2#), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 6+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 6+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 6+0+2:0:0:0:0, 2+0+2:0:0:0:0, 4+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 5+0+3:0:0:0:1, 4+0+5:0:0:0:0, 4+0+3:0:1:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+1:0:0:0:0, 4+0+2:1:0:0:0, 4+0+3:0:0:0:0, 4+0+3:0:1:0:1, 3+0+4:0:0:0:0, 2+0+0:0:0:0:0,  , 4+0+0:0:0:0:0, 4+0+2:2:0:0:0, 5+0+3:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+3:0:0:0:0, 4+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 165+0+73:3:2:0:3
G minor (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 0+0+0:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+5:1:0:0:0, 1+0+1:0:0:0:0,  , 1+0+1:0:0:0:0, 2+0+3:0:1:0:1, 1+0+1:0:0:0:0, 3+0+3:1:1:0:1, 2+0+2:0:0:0:0, 3+0+3:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:2:0:0:2, 1+0+1:0:0:0:0, 4+0+2:1:0:0:2, 1+0+4:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:1:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:1:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:1:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 70+0+65:8:6:0:7
B minor (2#), 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 6+0+4:0:0:0:2, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 6+0+4:0:0:0:2, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 6+0+4:0:0:0:2, 2+0+0:0:0:0:0, 4+0+4:0:0:0:1,  , 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+5:1:0:0:0, 4+0+3:0:1:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+1:0:0:0:0, 4+0+2:1:0:0:0, 4+0+5:0:0:0:0, 4+0+3:0:1:0:1, 3+0+4:0:0:0:0, 2+0+2:0:0:0:0,  , 4+0+4:3:0:0:0, 4+0+2:2:0:0:0, 4+0+4:2:1:0:1, 3+0+4:1:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+2:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 164+0+106:10:3:0:10
