 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:1,  , 2+0+1:0:0:0:0, 3+0+3:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 6+0+7:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 3+0+2:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 3+0+2:0:0:0:0, 5+0+3:2:0:0:2, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 3+0+3:0:0:0:0, 4+0+3:0:0:0:0, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 98+0+89:4:0:0:9
A minor (0), 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+1:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+4:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:1,  , 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:1, 6+0+7:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 3+0+2:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 3+0+3:1:0:0:0, 6+0+3:1:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 3+0+3:0:0:0:0, 4+0+3:2:0:0:0, 4+0+3:1:0:0:1, 0+0+2:0:0:0:0, 1+0+1:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 100+0+96:5:0:0:8
F major (1b), 0+0+0:0:0:0:0, 2+0+3:1:0:0:1, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:1, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:1:0:0:1, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 2+0+4:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+3:0:0:0:1, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:0:0:0:1, 1+0+1:0:0:0:1,  , 3+0+1:0:0:0:0, 4+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+7:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:0:0:0:0, 3+0+3:1:0:0:1, 4+0+3:2:0:0:2, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+3:0:0:0:0, 3+0+3:1:1:0:2, 3+0+5:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 105+0+98:6:1:0:16
G major (1#), 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:1, 1+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 4+0+1:0:0:0:0, 5+0+3:0:0:0:0, 5+0+2:0:0:0:0, 1+0+1:0:0:0:1,  , 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 5+0+7:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+5:0:0:0:0, 6+0+2:0:0:0:0, 4+0+3:1:0:0:0, 6+0+3:1:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+3:0:0:0:0, 4+0+3:0:0:0:0, 5+0+5:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 126+0+97:3:0:0:6
D minor (1b), 0+0+0:0:0:0:0, 2+0+3:1:0:0:1, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:1:0:0:1, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+3:0:0:0:1, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0,  , 3+0+1:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+7:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+2:0:0:0:0, 0+0+1:0:0:0:0, 2+0+2:0:0:0:0, 4+0+1:1:0:0:0, 5+0+3:0:0:0:0, 3+0+3:1:0:0:0, 5+0+3:1:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+3:0:0:0:0, 3+0+3:1:1:0:2, 3+0+5:0:0:0:0, 2+0+2:1:0:0:1, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 106+0+98:7:1:0:8
E minor (1#), 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:1, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:1:0:0:0, 2+0+3:1:0:0:0, 3+0+2:0:0:0:0, 2+0+2:1:1:0:1, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 5+0+3:0:0:0:0, 5+0+2:0:0:0:0, 1+0+1:0:0:0:1,  , 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+7:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 3+0+1:0:0:0:1, 3+0+1:0:0:0:0, 5+0+3:0:0:0:1, 4+0+3:1:0:0:0, 6+0+3:1:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+3:0:0:0:1, 4+0+3:0:0:0:0, 5+0+3:2:0:0:0, 5+0+3:1:0:0:1, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 125+0+99:8:1:0:8
Bb major (2b), 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:1, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 4+0+5:0:0:0:0, 2+0+1:0:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:1, 2+0+2:0:0:0:0, 1+0+4:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:1, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:2, 4+0+3:0:0:0:1, 2+0+1:0:0:0:1, 3+0+2:0:0:0:0,  , 4+0+1:0:0:0:0, 5+0+3:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 4+0+5:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+2:0:0:0:0, 4+0+3:1:0:0:0, 4+0+3:1:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 4+0+3:1:1:0:2, 4+0+3:0:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 134+0+102:4:1:0:13
D major (2#), 0+0+0:0:0:0:0, 2+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+4:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:1:0:0:0, 3+0+3:1:0:0:0, 4+0+2:0:0:0:0, 3+0+2:1:1:0:1, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 6+0+3:0:0:0:0, 6+0+2:0:0:0:0, 1+0+1:0:0:0:1,  , 4+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 6+0+7:0:0:0:0, 0+0+0:0:0:0:0, 4+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 7+0+3:0:0:0:0, 5+0+2:0:0:0:0, 7+0+3:1:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+3:0:0:0:0, 4+0+3:1:0:0:1, 4+0+3:2:0:0:0, 4+0+3:1:0:0:1, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 163+0+93:8:1:0:7
G minor (2b), 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:1, 0+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:1, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+1:1:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:1,  , 4+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:1, 4+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+2:0:0:0:0, 4+0+3:1:0:0:0, 4+0+3:1:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 5+0+3:0:0:0:0, 4+0+3:0:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 134+0+88:4:0:0:6
B minor (2#), 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+5:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+3:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+3:0:0:0:1, 1+0+1:1:0:0:0, 3+0+3:1:0:0:0, 4+0+2:0:0:0:0, 3+0+2:1:1:0:1, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 6+0+3:0:0:0:0, 6+0+2:0:0:0:0, 1+0+1:0:0:0:0,  , 4+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 6+0+7:0:0:0:0, 0+0+0:0:0:0:0, 4+0+5:2:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+5:0:0:0:0, 8+0+2:0:0:0:0, 5+0+3:1:0:0:0, 5+0+6:2:1:0:1, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+3:0:0:0:1, 4+0+3:0:0:0:0, 4+0+3:2:0:0:0, 4+0+3:1:0:0:1, 1+0+1:0:0:0:0, 2+0+2:0:2:0:2, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 161+0+110:11:4:0:8
