 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 7+0:0:1:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 9+2:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:0:3, 6+1:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 7+0:0:1:0:4, 10+0:0:0:0:4, 1+0:0:0:0:1, 80+3:0:3:0:35
A minor mel (0), 5+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:1, 8+0:0:1:0:3, 5+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:1, 10+2:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:2, 6+0:0:1:0:3, 6+1:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:0, 8+0:0:1:0:4, 10+0:0:0:0:3, 2+0:0:0:0:1, 91+3:0:3:0:34
C major blues (0), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 10+0:0:0:0:1, 2+0:0:0:0:0, 77+3:0:3:0:9
A minor blues (0), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 10+0:0:0:0:1, 2+0:0:0:0:0, 77+3:0:3:0:9
C dorian (0), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 9+0:0:0:0:1, 2+0:0:0:0:0, 75+3:0:3:0:9
C phrygian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
C lydian (0), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 9+0:0:0:0:1, 2+0:0:0:0:0, 75+3:0:3:0:9
C mixolydian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
C aeolian (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
