 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
A minor (0), 6+0:0:0:0:1, 5+0:0:1:0:3, 3+0:0:0:0:1, 4+0:0:0:0:2, 6+0:0:1:0:5, 7+0:0:2:0:5, 3+0:0:0:0:1, 8+0:0:1:0:4, 3+0:0:0:0:1, 6+0:0:1:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:1:0:3, 69+0:0:7:0:38
A minor mel (0), 6+0:0:0:0:1, 6+0:0:1:0:3, 4+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:1:0:5, 8+0:0:2:0:5, 4+0:0:0:0:1, 9+0:0:1:0:4, 4+0:0:0:0:1, 7+0:0:1:0:4, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:3, 5+0:0:1:0:3, 82+0:0:7:0:38
C major blues (0), 5+0:0:0:0:1, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 4+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 74+0:0:7:0:12
A minor blues (0), 5+0:0:0:0:1, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 4+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 74+0:0:7:0:12
C dorian (0), 5+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 3+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 72+0:0:7:0:12
C phrygian (0), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
C lydian (0), 5+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 3+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 72+0:0:7:0:12
C mixolydian (0), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
C aeolian (0), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
