 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
A minor (0), 1+0:0:0:0:0, 7+0:0:2:2:5, 4+0:0:0:0:1, 2+0:0:0:0:1, 7+2:0:1:1:3, 7+0:0:1:2:4, 8+0:0:0:0:2, 2+0:0:0:0:0, 7+0:0:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:0:0:2, 1+0:0:0:0:0, 7+0:0:2:2:5, 4+0:0:0:0:1, 2+0:0:0:0:1, 7+2:0:1:1:3, 7+0:0:1:2:4, 7+0:0:0:0:2, 1+0:0:0:0:0, 113+4:0:8:10:43
A minor mel (0), 1+0:0:0:0:0, 7+0:0:2:2:5, 3+0:0:0:0:1, 3+0:0:0:0:1, 7+2:0:1:1:3, 7+0:0:1:2:4, 9+0:0:0:0:2, 1+0:0:0:0:0, 8+0:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 7+0:0:2:2:5, 3+0:0:0:0:1, 3+0:0:0:0:1, 7+2:0:1:1:3, 7+0:0:1:2:4, 8+0:0:0:0:2, 1+0:0:0:0:0, 112+4:0:8:10:43
C major blues (0), 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 4+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 9+0:0:0:0:0, 5+0:0:0:0:1, 8+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 6+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 4+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 8+0:0:0:0:0, 2+0:0:0:0:0, 136+4:0:8:10:28
A minor blues (0), 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 4+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 9+0:0:0:0:0, 5+0:0:0:0:1, 8+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 6+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 4+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 8+0:0:0:0:0, 2+0:0:0:0:0, 136+4:0:8:10:28
C dorian (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 8+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 0+0:0:0:0:0, 90+4:0:8:10:28
C phrygian (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 5+0:0:0:0:0, 1+0:0:0:0:0, 105+4:0:8:10:28
C lydian (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 8+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 0+0:0:0:0:0, 90+4:0:8:10:28
C mixolydian (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 5+0:0:0:0:0, 1+0:0:0:0:0, 105+4:0:8:10:28
C aeolian (0), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
C locrian (0), 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 7+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 6+0:0:0:0:0, 2+0:0:0:0:0, 124+4:0:8:10:28
F major (1b), 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 5+0:0:0:0:0, 1+0:0:0:0:0, 105+4:0:8:10:28
G major (1#), 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 8+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 0+0:0:0:0:0, 90+4:0:8:10:28
D minor (1b), 1+0:0:0:0:0, 7+0:0:2:2:5, 5+0:1:0:0:1, 3+0:0:0:0:0, 7+2:0:1:1:3, 7+0:0:1:2:4, 7+0:1:0:0:1, 4+0:2:0:0:0, 6+0:1:0:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:1, 7+0:1:0:0:1, 1+0:0:0:0:0, 7+0:0:2:2:5, 5+0:1:0:0:1, 3+0:0:0:0:0, 7+2:0:1:1:3, 7+0:0:1:2:4, 6+0:1:0:0:1, 1+0:0:0:0:0, 118+4:18:8:10:35
E minor (1#), 1+0:0:0:0:0, 7+0:7:2:2:5, 3+0:1:0:0:1, 2+0:1:0:0:1, 7+2:5:1:1:4, 6+0:6:1:2:4, 8+0:3:0:0:3, 3+0:0:0:0:0, 7+0:3:0:0:3, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:3:0:0:3, 1+0:0:0:0:0, 7+0:7:2:2:5, 3+0:1:0:0:1, 2+0:1:0:0:1, 7+2:5:1:1:4, 6+0:6:1:2:4, 7+0:3:0:0:3, 1+0:0:0:0:0, 103+4:55:8:10:45
D minor mel (1b), 1+0:0:0:0:0, 7+0:0:2:2:5, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+2:0:1:1:3, 7+0:0:1:2:4, 8+0:1:0:0:1, 3+0:2:0:0:0, 7+0:1:0:0:1, 3+0:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:1, 2+0:2:0:0:1, 2+0:2:0:0:1, 2+0:2:0:0:1, 6+0:1:0:0:1, 1+0:0:0:0:0, 7+0:0:2:2:5, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+2:0:1:1:3, 7+0:0:1:2:4, 7+0:1:0:0:1, 0+0:0:0:0:0, 104+4:18:8:10:35
E minor mel (1#), 2+0:0:0:0:0, 7+0:7:2:2:5, 4+0:1:0:0:1, 3+0:1:0:0:1, 7+2:5:1:1:4, 7+0:6:1:2:4, 9+0:3:0:0:3, 3+0:0:0:0:0, 8+0:3:0:0:3, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:3:0:0:3, 2+0:0:0:0:0, 7+0:7:2:2:5, 4+0:1:0:0:1, 3+0:1:0:0:1, 7+2:5:1:1:4, 7+0:6:1:2:4, 8+0:3:0:0:3, 1+0:0:0:0:0, 116+4:55:8:10:45
F major blues (1b), 2+0:0:0:0:0, 7+0:0:2:2:4, 6+0:1:0:0:1, 4+0:0:0:0:0, 8+1:2:1:2:3, 8+0:0:1:2:3, 9+0:1:0:0:1, 6+0:2:0:0:2, 8+0:1:0:0:1, 4+0:2:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:1:0:0:1, 2+0:0:0:0:0, 7+0:0:2:2:4, 6+0:1:0:0:1, 4+0:0:0:0:0, 8+1:2:1:2:3, 8+0:0:1:2:3, 8+0:1:0:0:1, 3+0:0:0:0:0, 150+2:26:8:12:42
G major blues (1#), 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 9+0:2:0:0:1, 4+0:0:0:0:1, 8+0:2:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 7+0:2:0:0:0, 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 8+0:2:0:0:1, 1+0:0:0:0:0, 132+4:49:8:10:29
D minor blues (1b), 2+0:0:0:0:0, 7+0:0:2:2:4, 6+0:1:0:0:1, 4+0:0:0:0:0, 8+1:2:1:2:3, 8+0:0:1:2:3, 9+0:1:0:0:1, 6+0:2:0:0:2, 8+0:1:0:0:1, 4+0:2:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:1:0:0:1, 2+0:0:0:0:0, 7+0:0:2:2:4, 6+0:1:0:0:1, 4+0:0:0:0:0, 8+1:2:1:2:3, 8+0:0:1:2:3, 8+0:1:0:0:1, 3+0:0:0:0:0, 150+2:26:8:12:42
E minor blues (1#), 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 9+0:2:0:0:1, 4+0:0:0:0:1, 8+0:2:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 7+0:2:0:0:0, 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 8+0:2:0:0:1, 1+0:0:0:0:0, 132+4:49:8:10:29
F dorian (1b), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
