 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+1:0:1:0:2, 9+2:0:0:0:2, 7+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+1:0:1:0:2, 10+2:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 5+0:0:1:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+1:0:1:0:2, 9+2:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:3, 2+0:0:0:0:0, 142+10:0:6:0:23
A minor (0), 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 9+1:0:1:0:4, 10+2:0:0:0:2, 8+0:0:1:0:4, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 9+1:0:1:0:4, 11+2:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 7+1:0:0:0:1, 5+0:0:1:0:5, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 9+1:0:1:0:4, 10+2:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 7+0:0:1:0:4, 3+0:0:0:0:1, 171+10:0:6:0:72
F major (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:2, 10+2:3:0:0:3, 6+0:1:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:2, 11+2:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+1:2:0:0:2, 5+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:2, 10+2:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:1:0:2, 1+0:0:0:0:0, 114+10:16:6:0:22
G major (1#), 1+0:1:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 9+1:5:1:0:3, 10+2:3:0:0:1, 7+0:5:1:0:2, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 9+1:5:1:0:3, 11+2:4:0:0:1, 4+0:3:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 6+1:2:0:0:1, 6+0:5:1:0:3, 4+0:4:0:0:2, 3+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:0, 9+1:5:1:0:3, 10+2:3:0:0:1, 4+0:3:0:0:0, 4+0:3:0:0:0, 6+0:5:1:0:2, 2+0:2:0:0:0, 163+10:106:6:0:22
D minor (1b), 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 7+1:1:1:0:4, 11+2:2:0:0:2, 7+0:0:1:0:3, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 7+1:1:1:0:4, 12+2:2:0:0:3, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 6+1:1:0:0:1, 5+0:0:1:0:4, 3+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 7+1:1:1:0:4, 11+2:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 6+0:0:1:0:3, 1+0:0:0:0:0, 139+10:10:6:0:45
E minor (1#), 1+0:0:0:0:0, 2+0:2:0:0:2, 5+0:3:0:0:3, 2+0:2:0:0:2, 5+0:3:0:0:3, 9+1:5:1:0:5, 9+2:3:0:0:3, 7+0:5:1:0:5, 5+0:3:0:0:3, 2+0:2:0:0:2, 5+0:3:0:0:3, 2+0:2:0:0:2, 5+0:3:0:0:3, 9+1:5:1:0:5, 10+2:4:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 5+0:3:0:0:3, 3+0:2:0:0:2, 5+0:3:0:0:3, 5+1:2:0:0:2, 6+0:5:1:0:5, 4+0:4:0:0:4, 4+0:2:0:0:2, 5+0:3:0:0:3, 2+0:2:0:0:2, 5+0:3:0:0:3, 2+0:2:0:0:2, 5+0:3:0:0:3, 9+1:5:1:0:5, 9+2:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 6+0:5:1:0:5, 2+0:2:0:0:2, 172+10:105:6:0:105
Bb major (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:1, 9+2:3:0:0:4, 5+0:1:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:1, 10+2:3:0:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+1:2:0:0:3, 4+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:1, 9+2:3:0:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:1:0:1, 0+0:0:0:0:0, 80+10:16:6:0:20
D major (2#), 1+0:1:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 9+1:5:1:0:4, 11+2:3:0:0:2, 8+0:5:1:0:3, 4+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 9+1:5:1:0:4, 12+2:4:0:0:3, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:1, 7+1:2:0:0:1, 6+0:5:1:0:4, 4+0:4:0:0:2, 4+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:3:0:0:1, 9+1:5:1:0:4, 11+2:3:0:0:2, 5+0:3:0:0:1, 4+0:3:0:0:1, 7+0:5:1:0:3, 2+0:2:0:0:0, 188+10:106:6:0:45
G minor (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:3, 10+2:2:0:0:1, 5+0:1:1:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:3, 11+2:2:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:2:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 7+1:1:1:0:3, 10+2:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:1:0:2, 0+0:0:0:0:0, 101+10:13:6:0:22
B minor (2#), 0+0:0:0:0:0, 3+0:2:0:0:2, 5+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 9+1:5:1:0:6, 11+2:3:0:0:5, 9+0:5:1:0:5, 4+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 9+1:5:1:0:6, 12+2:4:0:0:6, 5+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 4+0:2:0:0:2, 5+0:3:0:0:4, 8+1:2:0:0:2, 6+0:5:1:0:6, 4+0:4:0:0:4, 5+0:2:0:0:3, 6+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 3+0:2:0:0:2, 5+0:3:0:0:4, 9+1:5:1:0:6, 11+2:3:0:0:5, 5+0:3:0:0:4, 4+0:3:0:0:4, 8+0:5:1:0:5, 2+0:2:0:0:2, 192+10:105:6:0:129
