 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:2, 5+0:0:1:0:2, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 52+0:0:5:0:10
A minor (0), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:3, 3+0:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:2:0:4, 5+0:0:1:0:4, 5+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:3, 3+0:0:0:0:1, 1+0:0:0:0:1, 57+0:0:5:0:32
F major (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:2, 4+0:0:1:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 42+0:1:5:0:6
G major (1#), 2+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:1:0:1, 4+0:4:0:0:2, 4+0:3:0:0:1, 3+0:2:0:0:1, 2+0:1:0:0:0, 4+0:4:2:0:3, 5+0:5:1:0:3, 5+0:5:1:0:2, 2+0:1:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:3:1:0:2, 3+0:2:0:0:0, 2+0:1:0:0:0, 63+0:48:6:0:16
D minor (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:2:0:4, 4+0:0:1:0:3, 4+0:1:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 51+0:4:5:0:21
E minor (1#), 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:1:0:0:1, 3+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 2+0:0:1:0:1, 4+0:4:0:0:4, 4+0:3:0:0:3, 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 5+0:3:1:0:3, 1+0:0:0:0:0, 4+0:3:0:0:3, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:3:1:0:3, 3+0:2:0:0:2, 2+0:1:0:0:1, 68+0:41:6:0:42
Bb major (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:2:0:1, 3+0:0:1:0:1, 3+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 29+0:1:5:0:4
D major (2#), 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:1, 2+0:2:0:0:0, 3+0:1:1:0:1, 4+0:4:0:0:2, 5+0:3:0:0:2, 3+0:2:0:0:2, 1+0:1:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:3, 5+0:4:1:0:2, 1+0:1:0:0:0, 5+0:3:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 4+0:3:1:0:3, 4+0:2:0:0:0, 3+0:1:0:0:0, 72+0:46:6:0:22
G minor (2b), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:1:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:1:0:0:0, 4+0:0:2:0:3, 3+0:0:1:0:3, 3+0:0:1:0:2, 2+0:1:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 40+0:3:6:0:16
B minor (2#), 3+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:3, 3+0:2:0:0:3, 2+0:2:0:0:2, 3+0:0:1:0:0, 4+0:4:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:3, 1+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:4, 4+0:1:0:0:2, 3+0:0:0:0:1, 4+0:3:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 76+0:41:6:0:53
