 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 2+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 6+0:0:1:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:2:0:2, 3+0:0:0:0:0, 7+0:0:2:0:2, 2+0:0:0:0:0, 85+0:0:6:0:11
A minor (0), 3+0:0:0:0:2, 6+0:0:1:0:4, 4+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:1:0:4, 5+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:2, 8+0:0:2:0:5, 4+0:0:0:0:2, 8+0:0:2:0:5, 2+0:0:0:0:2, 100+0:0:6:0:54
F major (1b), 2+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:1:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:1:1:2, 3+0:0:0:0:0, 6+0:2:1:1:2, 2+0:0:0:0:0, 76+0:8:4:2:10
G major (1#), 2+0:2:0:0:0, 6+0:5:1:0:2, 3+0:3:0:0:0, 4+0:4:0:0:1, 3+0:2:0:0:1, 2+0:1:0:0:0, 2+0:2:0:0:0, 6+0:1:0:0:1, 5+0:4:0:0:1, 5+0:4:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 7+0:5:1:0:2, 6+0:4:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:1, 5+0:4:0:0:1, 2+0:2:0:0:0, 8+0:5:1:1:3, 2+0:2:0:0:0, 8+0:5:1:1:3, 2+0:2:0:0:0, 101+0:70:4:2:19
D minor (1b), 3+0:0:0:0:1, 4+0:0:1:0:3, 5+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:1:0:3, 5+0:0:0:0:2, 6+0:1:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:1, 6+0:1:2:0:4, 4+0:1:0:0:1, 6+0:1:2:0:4, 3+0:0:0:0:1, 92+0:9:6:0:34
E minor (1#), 3+0:2:0:0:2, 6+0:5:1:0:5, 3+0:2:0:0:2, 4+0:4:0:0:4, 3+0:2:0:0:2, 3+0:0:0:0:0, 2+0:2:0:0:2, 6+0:1:0:0:1, 5+0:3:0:0:3, 5+0:4:0:0:4, 4+0:2:0:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:2:0:0:2, 7+0:5:1:0:5, 6+0:4:0:0:4, 5+0:2:0:0:2, 4+0:3:0:0:3, 6+0:4:0:0:4, 2+0:2:0:0:2, 8+0:5:1:1:6, 2+0:2:0:0:2, 8+0:5:1:1:6, 2+0:2:0:0:2, 108+0:65:4:2:67
Bb major (2b), 1+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:1:0:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:1:1:2, 2+0:0:0:0:0, 5+0:2:1:1:2, 1+0:0:0:0:0, 57+0:8:4:2:15
D major (2#), 3+0:2:0:0:1, 6+0:5:1:0:3, 4+0:3:0:0:1, 5+0:4:0:0:2, 4+0:2:0:0:2, 3+0:0:0:0:0, 3+0:2:0:0:0, 5+0:1:0:0:0, 6+0:4:0:0:2, 5+0:4:0:0:2, 4+0:2:0:0:0, 4+0:2:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 6+0:2:0:0:0, 7+0:5:1:0:3, 7+0:4:0:0:2, 6+0:2:0:0:1, 4+0:3:0:0:2, 5+0:4:0:0:2, 3+0:2:0:0:1, 8+0:5:1:1:4, 3+0:2:0:0:1, 8+0:5:1:1:4, 3+0:2:0:0:1, 117+0:68:4:2:34
G minor (2b), 1+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 0+0:0:0:0:0, 6+0:2:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 5+0:0:1:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:2:0:3, 1+0:0:0:0:0, 73+0:3:6:0:19
B minor (2#), 3+0:2:0:0:2, 6+0:5:1:0:6, 4+0:2:0:0:2, 5+0:4:0:0:4, 4+0:2:0:0:3, 4+0:0:0:0:1, 3+0:2:0:0:2, 6+0:1:0:0:2, 6+0:3:0:0:4, 5+0:4:0:0:5, 4+0:2:0:0:3, 5+0:1:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:2, 7+0:2:0:0:3, 7+0:5:1:0:6, 7+0:4:0:0:5, 7+0:2:0:0:3, 4+0:3:0:0:4, 5+0:4:0:0:5, 3+0:2:0:0:2, 8+0:5:1:1:7, 3+0:2:0:0:2, 8+0:5:1:1:7, 3+0:2:0:0:2, 124+0:65:4:2:85
