 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:0, 7+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 2+0:0:0:0:0,  , 3+0:0:0:0:0,  , 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:0, 7+0:0:0:0:0, 2+0:0:0:0:0, 77+0:0:0:0:3
A minor (0), 4+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:3, 5+0:0:0:0:3, 7+0:0:0:0:4, 6+1:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:0,  , 1+0:0:0:0:1,  , 2+0:0:0:0:1,  , 4+0:0:0:0:2,  , 4+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:3, 5+0:0:0:0:3, 7+0:0:0:0:4, 3+0:0:0:0:1, 88+1:0:0:0:51
F major (1b), 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 2+0:0:0:0:0,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 2+0:1:0:0:1, 61+0:1:0:0:1
G major (1#), 4+0:3:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:1, 6+0:4:0:0:1, 7+0:4:2:0:3, 6+1:4:0:0:1, 5+0:3:0:0:1, 1+0:1:0:0:0,  , 2+0:1:0:0:0,  , 3+0:2:0:0:0,  , 3+0:3:0:0:1,  , 4+0:3:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:1, 6+0:4:0:0:1, 7+0:4:2:0:3, 2+0:1:1:0:1, 92+1:65:5:0:18
D minor (1b), 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 6+0:1:0:0:2, 5+1:0:0:0:2, 5+0:0:0:0:2, 1+0:0:0:0:0,  , 2+0:0:0:0:0,  , 1+0:0:0:0:1,  , 2+0:0:0:0:1,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 6+0:1:0:0:2, 2+0:1:0:0:1, 72+1:3:0:0:31
E minor (1#), 4+0:3:0:0:3, 5+0:4:0:0:4, 4+0:3:0:0:3, 5+0:4:0:0:4, 5+0:3:0:0:3, 6+0:4:0:0:4, 7+0:4:2:0:6, 7+0:5:0:0:5, 5+0:3:0:0:3, 1+0:1:0:0:1,  , 2+0:1:0:0:1,  , 4+0:2:0:0:2,  , 3+0:3:0:0:3,  , 4+0:3:0:0:3, 5+0:4:0:0:4, 4+0:3:0:0:3, 5+0:4:0:0:4, 5+0:3:0:0:3, 6+0:4:0:0:4, 7+0:4:2:0:6, 2+0:1:1:0:2, 96+0:66:5:0:71
Bb major (2b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0,  , 0+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:1:0:0:1, 44+0:1:0:0:1
D major (2#), 5+0:3:0:0:1, 5+0:4:0:0:2, 5+0:3:0:0:1, 5+0:4:0:0:2, 5+0:3:0:0:2, 7+0:4:0:0:2, 7+0:4:2:0:4, 7+1:4:0:0:2, 6+0:3:0:0:2, 2+0:1:0:0:0,  , 3+0:1:0:0:0,  , 3+0:2:0:0:1,  , 3+0:3:0:0:1,  , 5+0:3:0:0:1, 5+0:4:0:0:2, 5+0:3:0:0:1, 5+0:4:0:0:2, 5+0:3:0:0:2, 7+0:4:0:0:2, 7+0:4:2:0:4, 2+0:1:1:0:2, 104+1:65:5:0:36
G minor (2b), 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:0:0:1, 4+1:1:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 2+0:0:0:0:0,  , 1+0:0:0:0:1,  , 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:0:0:1, 2+0:1:1:0:1, 61+1:2:1:0:14
B minor (2#), 5+0:3:0:0:4, 5+0:4:0:0:5, 5+0:3:0:0:4, 5+0:4:0:0:5, 5+0:3:0:0:4, 7+0:4:0:0:5, 7+0:4:2:0:4, 8+1:4:0:0:5, 6+0:3:0:0:4, 2+0:1:0:0:1,  , 4+0:1:0:0:2,  , 3+0:2:0:0:3,  , 3+0:3:0:0:3,  , 5+0:3:0:0:4, 5+0:4:0:0:5, 5+0:3:0:0:4, 5+0:4:0:0:5, 5+0:3:0:0:4, 7+0:4:0:0:5, 7+0:4:2:0:4, 2+0:1:1:0:1, 106+1:65:5:0:81
