 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 3+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 6+0:0:1:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 8+0:0:1:1:3, 2+0:0:0:0:0, 135+0:0:12:3:37
A minor (0), 3+0:0:0:0:2, 5+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 4+0:0:0:0:2, 3+0:0:0:0:1, 8+0:0:1:1:5, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:0:4, 4+0:0:1:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 4+0:0:0:0:2, 3+0:0:0:0:1, 8+0:0:1:1:5, 3+0:0:0:0:2, 6+0:0:1:0:5, 4+0:0:0:0:3, 5+0:0:0:0:4, 8+0:0:1:1:5, 3+0:0:0:0:1, 141+0:0:12:3:91
F major (1b), 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:2:0:2, 5+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:1:1:1:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:2:0:2, 5+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:1:1:1:3, 2+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 8+0:0:1:1:2, 1+0:0:0:0:0, 110+0:2:12:3:17
G major (1#), 4+0:3:0:0:1, 6+0:5:0:0:2, 7+0:7:2:0:4, 6+0:5:1:0:2, 5+0:3:0:0:0, 2+0:2:0:0:0, 9+0:7:1:1:3, 3+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 5+0:4:0:0:1, 3+0:3:0:0:1, 3+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:1:0:2, 5+0:4:1:0:2, 5+0:4:0:0:2, 5+0:4:0:0:1, 6+0:5:0:0:2, 7+0:7:2:0:4, 6+0:5:1:0:2, 5+0:3:0:0:0, 2+0:2:0:0:0, 9+0:7:1:1:3, 3+0:3:0:0:1, 7+0:6:1:0:3, 5+0:4:0:0:2, 6+0:5:0:0:2, 9+0:7:1:1:3, 2+0:2:0:0:0, 150+0:125:12:3:46
D minor (1b), 2+0:0:0:0:1, 5+0:0:0:0:3, 6+0:0:2:0:5, 5+0:1:1:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:1:0:3, 3+0:0:1:0:3, 3+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 6+0:0:2:0:5, 5+0:1:1:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 5+0:0:1:0:4, 3+0:0:0:0:3, 5+0:0:0:0:3, 8+0:0:1:1:4, 1+0:0:0:0:0, 120+0:5:12:3:65
E minor (1#), 4+0:0:1:1:2, 6+0:5:0:0:5, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:3, 2+0:2:0:0:2, 10+0:7:1:1:6, 4+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 3+0:3:0:0:3, 3+0:3:0:0:3, 3+0:2:0:0:2, 5+0:4:1:0:4, 5+0:3:1:0:3, 5+0:4:0:0:4, 6+0:4:0:0:4, 6+0:5:0:0:5, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:3, 2+0:2:0:0:2, 10+0:7:1:1:6, 4+0:3:0:0:3, 7+0:6:1:0:6, 5+0:4:0:0:4, 6+0:5:0:0:5, 10+0:7:1:1:6, 3+0:2:0:0:2, 161+0:118:13:4:117
Bb major (2b), 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:2:0:1, 4+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:0, 4+0:0:1:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:2:0:1, 4+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:1:2, 1+0:0:0:0:0, 4+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:1:1, 0+0:0:0:0:0, 84+0:2:12:3:7
D major (2#), 4+0:3:0:0:1, 7+0:5:0:0:3, 7+0:7:2:0:5, 6+0:4:1:0:2, 6+0:3:0:0:1, 3+0:2:0:0:0, 9+0:7:1:1:4, 3+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 5+0:4:0:0:2, 3+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:1, 5+0:4:1:0:3, 5+0:4:1:0:3, 5+0:4:0:0:3, 6+0:4:0:0:2, 7+0:5:0:0:3, 7+0:7:2:0:5, 6+0:4:1:0:2, 6+0:3:0:0:1, 3+0:2:0:0:0, 9+0:7:1:1:4, 3+0:3:0:0:1, 7+0:6:1:0:4, 5+0:4:0:0:3, 7+0:5:0:0:3, 9+0:7:1:1:4, 2+0:2:0:0:0, 160+0:123:12:3:65
G minor (2b), 2+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:2:0:4, 4+0:0:1:0:2, 3+0:0:0:0:0, 0+0:0:0:0:0, 8+0:1:1:1:3, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 4+0:1:1:0:2, 5+0:0:1:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:2:0:4, 4+0:0:1:0:2, 3+0:0:0:0:0, 0+0:0:0:0:0, 8+0:1:1:1:3, 1+0:0:0:0:1, 5+0:0:1:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 8+0:0:1:1:3, 0+0:0:0:0:0, 99+0:4:12:3:46
B minor (2#), 3+0:2:0:0:3, 7+0:5:0:0:6, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:4, 3+0:2:0:0:2, 9+0:7:1:1:7, 3+0:3:0:0:3, 4+0:3:0:0:4, 3+0:3:0:0:3, 5+0:3:0:0:4, 3+0:3:0:0:3, 4+0:3:0:0:3, 4+0:2:0:0:2, 5+0:4:1:0:4, 5+0:3:1:0:4, 5+0:4:0:0:5, 6+0:4:0:0:5, 7+0:5:0:0:6, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:4, 3+0:2:0:0:2, 9+0:7:1:1:7, 3+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:6, 9+0:7:1:1:7, 2+0:2:0:0:2, 159+0:120:12:3:133
