 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2+0+2:0:0:0:0, 3+0+2:1:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+4:2:0:0:0, 3+0+3:0:0:0:0, 2+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+4:2:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:1:0:0:0, 3+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:1:0:0:0, 3+0+3:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 53+0+40:11:0:0:0
A minor (0), 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+2:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:2:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:2:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 53+0+29:8:0:0:0
F major (1b), 1+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:1:0:0:0, 3+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+2:1:0:0:0, 2+0+1:0:0:0:0, 3+0+5:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 49+0+27:3:0:0:0
G major (1#), 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+2:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:2:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:2:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:1:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 49+0+30:8:0:0:0
D minor (1b), 1+0+2:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 2+0+2:0:0:0:0, 4+0+2:0:0:0:0, 0+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:2:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:2:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:1:0:0:0, 2+0+2:1:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 51+0+30:8:0:0:0
E minor (1#), 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 4+0+4:2:0:0:0, 3+0+3:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+4:2:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:1:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 49+0+34:8:0:0:0
Bb major (2b), 0+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 30+0+19:0:0:0:1
D major (2#), 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+4:0:0:0:1, 1+0+0:0:0:0:0, 2+0+2:2:0:0:0, 3+0+2:0:0:0:0, 1+0+2:1:0:0:0, 1+0+2:0:0:0:0, 2+0+2:2:0:0:0, 3+0+2:0:0:0:0, 1+0+2:1:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:1:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 43+0+32:9:0:0:1
G minor (2b), 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:2:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:2:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:1:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:1:0:0:0, 0+0+0:0:0:0:0, 38+0+30:8:0:0:0
B minor (2#), 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+4:0:0:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+2:1:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+3:1:0:0:0, 2+0+1:0:1:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 42+0+18:3:1:0:2
Eb major (3b), 0+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 22+0+20:2:0:0:0
