 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 9+4:0:0:2:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 12+1:0:1:1:5, 13+2:0:0:1:3, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 72+7:0:1:4:17
A minor (0), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+4:0:0:2:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 6+0:0:0:0:3, 11+1:0:1:1:2, 13+2:0:0:1:5, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 92+7:0:1:4:21
F major (1b), 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:2:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+4:1:0:2:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 13+1:7:1:1:6, 12+2:1:0:1:2, 1+0:0:0:0:0, 5+0:2:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 80+7:17:1:4:19
G major (1#), 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 8+4:6:0:2:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:0, 6+0:4:0:0:2, 11+1:1:1:1:4, 14+2:7:0:1:2, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 80+7:38:1:4:15
D minor (1b), 3+0:1:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 11+4:1:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+1:0:0:0:1, 12+1:6:1:1:3, 11+2:0:0:1:4, 2+0:0:0:0:0, 6+0:2:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 92+8:15:1:4:17
E minor (1#), 4+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 2+0:2:0:0:2, 4+0:2:0:0:2, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 9+4:6:0:2:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:2, 7+0:4:0:0:4, 12+1:1:1:1:3, 15+2:7:0:1:6, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 2+0:2:0:0:2, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 95+7:32:1:4:31
Bb major (2b), 3+0:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 11+4:1:0:2:5, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:0, 13+1:7:1:1:8, 13+2:1:0:1:3, 2+0:0:0:0:1, 5+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 90+7:17:1:4:38
D major (2#), 3+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 9+4:6:0:2:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:0, 5+1:3:0:0:1, 10+1:1:1:1:3, 13+2:7:0:1:4, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 92+8:35:1:4:17
G minor (2b), 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 10+4:0:0:2:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 12+1:6:1:1:4, 14+2:1:0:1:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 98+7:13:1:4:15
B minor (2#), 4+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:1:0:0:2, 4+0:1:0:0:1, 3+0:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 10+4:6:0:2:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 6+0:2:0:0:3, 6+1:3:0:0:4, 11+1:1:1:1:2, 13+2:7:0:1:7, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:1:0:0:2, 4+0:1:0:0:1, 3+0:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 112+8:27:1:4:37
