 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 34+0:0:1:0:4
A minor (0), 3+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:0, 6+0:0:1:0:4, 1+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 35+0:0:1:0:15
F major (1b), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 23+0:1:1:0:2
G major (1#), 4+0:3:0:0:1, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 4+0:4:0:0:2, 2+0:2:0:0:0, 4+0:3:0:0:1, 4+0:2:0:0:0, 6+0:5:1:0:3, 2+0:1:0:0:0, 4+0:3:0:0:1, 3+0:2:0:0:0, 40+0:28:1:0:8
D minor (1b), 2+0:0:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:2, 1+0:0:0:0:0, 5+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:0, 23+0:1:1:0:11
E minor (1#), 4+0:3:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 6+0:5:1:0:5, 3+0:1:0:0:1, 4+0:3:0:0:3, 3+0:2:0:0:2, 40+0:21:1:0:21
Bb major (2b), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 17+0:1:1:0:2
D major (2#), 4+0:3:0:0:2, 1+0:1:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 5+0:4:0:0:2, 3+0:2:0:0:0, 4+0:3:0:0:2, 3+0:2:0:0:0, 6+0:5:1:0:3, 3+0:1:0:0:0, 4+0:3:0:0:2, 4+0:2:0:0:0, 40+0:28:1:0:11
G minor (2b), 3+0:0:0:0:1, 1+0:1:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:0, 4+0:0:1:0:3, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 23+0:4:1:0:8
B minor (2#), 4+0:3:0:0:4, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:4:0:0:4, 2+0:0:0:0:0, 4+0:3:0:0:4, 2+0:0:0:0:1, 6+0:5:1:0:5, 4+0:1:0:0:2, 4+0:3:0:0:4, 5+0:2:0:0:3, 37+0:21:1:0:28
