 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 2+0:0:0:0:0, 5+1:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 13+1:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 58+2:0:1:1:5
A minor (0), 3+0:0:0:0:1, 5+1:0:0:0:3, 6+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 14+1:0:0:0:5, 4+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:1:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 74+2:0:1:1:29
F major (1b), 1+0:0:0:0:0, 5+1:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 12+1:2:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 42+2:4:1:1:6
G major (1#), 3+0:2:0:0:0, 4+1:3:0:0:1, 6+0:4:0:0:1, 4+0:3:0:0:1, 3+0:2:0:0:1, 2+0:2:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:1, 14+1:7:0:0:3, 3+0:2:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 5+0:4:1:1:2, 2+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:1, 76+2:47:1:1:16
D minor (1b), 2+0:0:0:0:1, 6+1:1:0:0:2, 5+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:2, 12+1:2:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:1:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 60+2:4:1:1:24
E minor (1#), 3+0:2:0:0:2, 5+1:3:0:0:3, 6+0:4:0:0:4, 4+0:3:0:0:3, 3+0:2:0:0:2, 2+0:2:0:0:2, 1+0:0:0:0:0, 3+0:2:0:0:2, 4+0:3:0:0:3, 14+1:7:0:0:7, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:4:1:1:3, 3+0:1:0:0:1, 1+0:1:0:0:1, 2+0:0:0:0:0, 3+0:2:0:0:2, 82+2:47:1:1:46
Bb major (2b), 2+0:0:0:0:0, 4+1:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 11+1:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:1:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 49+2:4:1:1:6
D major (2#), 4+0:2:0:0:1, 5+1:3:0:0:2, 7+0:4:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:1, 3+0:2:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:2, 14+1:7:0:0:3, 4+0:2:0:0:1, 4+0:2:0:0:2, 3+0:2:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:4:1:1:3, 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:1, 94+2:47:1:1:24
G minor (2b), 3+0:0:0:0:0, 3+1:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 12+1:1:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 67+2:2:1:1:16
B minor (2#), 4+0:2:0:0:3, 5+1:3:0:0:3, 7+0:4:0:0:5, 4+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:2, 3+0:0:0:0:1, 5+0:2:0:0:3, 4+0:3:0:0:4, 14+1:7:0:0:8, 4+0:2:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:3, 3+0:1:0:0:1, 3+0:0:0:0:1, 5+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:1, 5+0:4:1:1:4, 3+0:1:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:1, 4+0:2:0:0:3, 103+2:47:1:1:65
