 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 2+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:1:0:3, 0+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 7+0:0:1:0:3, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 8+0:0:1:0:5, 4+0:0:0:0:1, 5+0:0:2:0:2, 9+0:0:1:0:6, 4+0:0:0:0:0, 11+1:0:2:0:4, 5+0:0:0:0:1, 0+0:0:0:0:0, 107+1:0:12:0:34
A minor (0), 3+0:0:0:0:1, 3+0:0:1:0:1, 4+0:0:1:0:2, 0+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:4, 7+0:0:1:0:5, 4+0:0:0:0:2, 6+0:0:1:0:4, 3+0:0:0:0:2, 3+0:0:0:0:2, 8+0:0:1:1:3, 3+0:0:0:0:0, 6+0:0:2:0:4, 10+0:0:1:0:3, 3+0:0:0:0:0, 11+1:0:2:0:6, 5+0:0:0:0:4, 1+0:0:0:0:0, 114+1:0:12:1:54
F major (1b), 1+0:0:0:0:0, 3+0:3:1:0:3, 5+0:4:1:0:4, 0+0:0:0:0:0, 3+0:2:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 6+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 9+0:6:1:0:6, 4+0:1:0:0:1, 4+0:0:2:0:2, 10+0:7:1:0:7, 3+0:0:0:0:0, 10+1:1:2:0:3, 4+0:0:0:0:0, 1+0:0:0:0:0, 94+1:25:12:0:32
G major (1#), 2+0:2:0:0:0, 2+0:0:1:0:1, 4+0:1:1:0:2, 1+0:0:0:0:0, 5+0:2:1:0:1, 3+0:2:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 5+0:4:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:5:1:0:2, 6+1:5:1:0:2, 4+0:3:0:0:0, 7+0:5:1:0:2, 4+0:3:0:0:2, 4+0:3:0:0:0, 7+0:0:1:0:4, 3+0:1:0:0:1, 6+0:5:2:0:3, 8+0:0:1:0:5, 4+0:2:1:0:1, 11+1:7:2:0:4, 6+0:5:0:0:2, 1+0:0:0:0:0, 115+2:65:13:0:36
D minor (1b), 1+0:0:0:0:0, 2+0:2:1:0:1, 4+0:4:1:0:2, 1+0:0:0:0:0, 2+0:1:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:1:0:0:0, 6+0:0:1:0:3, 6+0:0:1:0:4, 3+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:2, 3+0:0:0:0:1, 8+0:5:1:0:3, 3+0:2:0:0:0, 5+0:0:2:0:4, 9+0:6:1:0:5, 2+0:2:0:0:0, 10+1:0:2:0:5, 4+0:0:0:0:3, 2+0:0:0:0:0, 96+1:23:12:0:46
E minor (1#), 3+0:2:0:0:2, 3+0:0:1:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 5+0:2:1:0:3, 4+0:1:0:0:1, 5+0:4:0:0:4, 4+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 4+0:2:0:0:2, 7+0:5:1:0:5, 4+0:3:0:0:3, 5+0:3:0:0:3, 6+0:0:1:0:1, 2+0:0:0:0:0, 7+0:5:2:0:5, 7+0:0:1:0:1, 4+0:0:1:0:1, 12+1:7:2:0:7, 6+0:5:0:0:5, 2+0:0:0:0:0, 121+2:56:13:0:62
Bb major (2b), 0+0:0:0:0:0, 3+0:3:1:0:3, 5+0:4:1:0:4, 1+0:0:0:0:0, 2+0:2:1:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:2, 5+0:0:1:0:0, 5+0:0:1:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 9+0:6:1:0:7, 3+0:1:0:0:1, 4+0:0:2:0:1, 9+1:6:1:0:7, 3+0:0:0:0:0, 9+1:1:2:0:2, 3+0:0:0:0:0, 2+0:0:0:0:1, 84+2:24:12:0:30
D major (2#), 2+0:2:0:0:0, 1+0:0:1:0:1, 3+0:0:1:0:2, 2+0:0:0:0:0, 4+0:2:1:0:1, 4+0:2:0:0:0, 6+0:4:0:0:2, 5+0:3:0:0:2, 5+0:3:0:0:2, 5+0:4:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:5:1:0:3, 6+1:5:1:0:3, 5+0:3:0:0:1, 7+0:5:1:0:3, 4+0:3:0:0:2, 5+0:3:0:0:1, 6+0:0:1:0:3, 2+0:1:0:0:0, 7+0:5:2:0:4, 7+0:0:1:0:5, 3+0:1:1:0:1, 11+1:7:2:0:5, 6+0:5:0:0:3, 2+0:0:0:0:0, 117+2:63:13:0:46
G minor (2b), 0+0:0:0:0:0, 2+0:2:1:0:1, 4+0:3:1:0:2, 2+0:0:0:0:0, 3+0:2:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:0, 5+0:1:1:0:2, 4+1:0:1:0:2, 2+0:0:0:0:0, 5+0:1:1:0:2, 3+0:0:0:0:2, 2+0:0:0:0:0, 8+0:5:1:0:4, 2+0:2:0:0:1, 5+0:0:2:0:3, 8+1:5:1:0:4, 3+0:2:1:0:1, 9+1:1:2:0:4, 4+0:0:0:0:2, 3+0:0:0:0:0, 92+3:25:13:0:35
B minor (2#), 2+0:2:0:0:2, 2+0:0:1:0:1, 2+0:0:1:0:0, 3+0:0:0:0:1, 5+0:2:1:0:4, 5+0:1:0:0:2, 6+0:4:0:0:5, 5+0:3:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 5+0:2:0:0:3, 7+0:5:1:0:6, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:0:1:0:0, 3+0:0:0:0:0, 7+0:4:2:0:5, 6+0:0:1:0:0, 2+0:0:1:0:0, 11+1:7:2:0:8, 6+0:5:0:0:6, 3+0:0:0:0:1, 121+2:55:13:0:73
