 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 1+0:0:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:1:0:1, 5+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:1:0:1, 5+0:0:1:0:2, 2+0:0:0:0:0, 9+2:0:1:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 173+2:0:8:9:37
A minor (0), 1+0:0:0:0:0, 3+0:0:0:0:2, 7+0:0:0:0:4, 3+0:0:1:0:3, 5+0:0:0:0:1, 3+0:0:0:0:2, 6+0:0:0:0:4, 3+0:0:1:0:3, 3+0:0:1:0:2, 3+0:0:0:0:2, 5+0:0:0:0:4, 3+0:0:1:0:3, 5+0:0:1:0:3, 3+0:0:0:0:1, 9+2:0:1:0:3, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 10+0:0:0:3:4, 2+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 10+0:0:0:3:4, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:2, 6+0:0:1:0:5, 6+0:0:1:0:4, 3+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 10+0:0:0:3:4, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:0, 199+2:0:8:9:107
F major (1b), 0+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:1:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:1:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 8+2:4:1:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 136+2:6:8:9:22
G major (1#), 1+0:1:0:0:0, 3+0:3:0:0:1, 8+0:6:0:0:2, 4+0:3:1:0:1, 4+0:3:0:0:0, 3+0:3:0:0:1, 7+0:5:0:0:2, 4+0:3:1:0:1, 4+0:3:1:0:1, 3+0:3:0:0:1, 6+0:5:0:0:2, 4+0:3:1:0:1, 6+0:5:1:0:2, 2+0:2:0:0:0, 8+2:3:1:0:4, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 10+0:9:0:3:4, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:4:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 10+0:9:0:3:4, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 5+0:4:0:0:1, 2+0:2:0:0:0, 7+0:5:1:0:3, 6+0:5:1:0:2, 2+0:2:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 10+0:9:0:3:4, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:4:0:0:1, 3+0:1:0:0:1, 209+2:160:8:9:44
D minor (1b), 0+0:0:0:0:0, 2+0:0:0:0:1, 6+0:0:1:0:4, 3+0:0:1:0:2, 4+0:1:0:0:1, 2+0:0:0:0:1, 6+0:0:0:0:3, 3+0:0:1:0:2, 2+0:0:1:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:1:0:2, 4+0:0:1:0:3, 1+0:0:0:0:0, 9+2:4:1:0:4, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 8+0:1:0:3:4, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 2+0:1:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 8+0:1:0:3:4, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:1, 6+0:0:1:0:4, 5+0:0:1:0:3, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 8+0:1:0:3:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 2+0:1:0:0:1, 161+2:11:9:9:79
E minor (1#), 1+0:0:0:0:0, 4+0:3:0:0:3, 8+0:6:0:0:6, 4+0:3:1:0:3, 5+0:2:0:0:2, 4+0:3:0:0:3, 7+0:5:0:0:5, 4+0:3:1:0:3, 5+0:3:1:0:3, 4+0:3:0:0:3, 6+0:5:0:0:5, 4+0:3:1:0:3, 7+0:4:1:0:4, 3+0:2:0:0:2, 7+2:3:1:0:4, 3+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:0:0:4, 11+0:8:0:3:5, 3+0:2:0:0:2, 4+0:2:0:0:2, 5+0:4:0:0:4, 4+0:1:0:0:1, 3+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:0:0:4, 11+0:8:0:3:5, 3+0:2:0:0:2, 4+0:2:0:0:2, 5+0:3:0:0:3, 5+0:3:0:0:3, 2+0:2:0:0:2, 7+0:5:1:0:5, 6+0:5:1:0:5, 2+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:0:0:4, 11+0:8:0:3:5, 3+0:2:0:0:2, 5+0:3:0:0:3, 4+0:4:0:0:4, 4+0:1:0:0:1, 233+2:151:8:9:143
Bb major (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:1:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 7+2:4:1:0:5, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 105+2:5:8:9:17
D major (2#), 1+0:1:0:0:0, 3+0:3:0:0:1, 8+0:6:1:0:4, 4+0:3:1:0:2, 4+0:3:0:0:1, 3+0:3:0:0:1, 8+0:5:0:0:3, 4+0:3:1:0:2, 4+0:3:1:0:2, 3+0:3:0:0:1, 7+0:5:0:0:3, 4+0:3:1:0:2, 6+0:5:1:0:3, 2+0:2:0:0:0, 9+2:3:1:0:4, 3+0:2:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 10+0:8:0:3:4, 4+0:2:0:0:1, 3+0:2:0:0:1, 5+0:4:0:0:2, 4+0:1:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 10+0:8:0:3:4, 4+0:2:0:0:1, 3+0:2:0:0:1, 4+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 7+0:5:1:0:4, 7+0:5:1:0:3, 3+0:2:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 10+0:8:0:3:4, 4+0:2:0:0:1, 5+0:3:0:0:1, 5+0:4:0:0:2, 4+0:1:0:0:1, 234+2:155:9:9:79
G minor (2b), 0+0:0:0:0:0, 1+0:0:0:0:1, 6+0:0:0:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:1:0:1, 3+0:0:1:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:1:0:1, 4+0:0:1:0:2, 0+0:0:0:0:0, 6+2:3:1:0:4, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:0:1:0:3, 4+0:0:1:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 9+0:0:0:3:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 141+2:3:8:9:43
B minor (2#), 0+0:0:0:0:0, 3+0:3:0:0:3, 8+0:6:1:0:7, 4+0:3:1:0:4, 4+0:2:0:0:3, 3+0:3:0:0:3, 8+0:5:0:0:6, 4+0:3:1:0:4, 4+0:3:1:0:4, 3+0:3:0:0:3, 7+0:5:0:0:6, 4+0:3:1:0:4, 6+0:4:1:0:5, 2+0:2:0:0:2, 10+2:3:1:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:3, 6+0:4:0:0:5, 10+0:8:0:3:6, 4+0:2:0:0:3, 3+0:2:0:0:3, 5+0:4:0:0:4, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:3, 6+0:4:0:0:5, 10+0:8:0:3:6, 4+0:2:0:0:3, 3+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:2, 7+0:5:1:0:6, 7+0:5:1:0:6, 3+0:2:0:0:2, 4+0:2:0:0:3, 6+0:2:0:0:3, 5+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:3, 6+0:4:0:0:5, 10+0:8:0:3:6, 4+0:2:0:0:3, 6+0:3:0:0:4, 5+0:4:0:0:4, 4+0:1:0:0:2, 237+2:151:9:9:181
