 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b)
A minor (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), A minor (0)
F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), C minor (3b), F minor (4b)
G major (1#), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), F major (1b), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b)
D minor (1b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F major (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), C minor (3b), C minor (3b)
E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), E major (4#), C# minor (4#), E major (4#), E minor (1#), A minor (0), E minor (1#), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0)
Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b)
D major (2#), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), C major (0), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), A minor (0), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), D minor (1b), A minor (0), D minor (1b), C minor (3b), A minor (0)
G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
B minor (2#), E minor (1#), B major (5#), G# minor (5#), B major (5#), G# minor (5#), B major (5#), C# major (7#), C# minor (4#), F# major (6#), F# major (6#), B major (5#), E minor (1#), E minor (1#), F# minor (3#), C# minor (4#), C# minor (4#), G# minor (5#), B major (5#), G# minor (5#), B major (5#), G# minor (5#), B major (5#), C# major (7#), C# minor (4#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# major (6#), F# minor (3#)
Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b)
A major (3#), C minor (3b), A minor (0), C minor (3b), A minor (0), C minor (3b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), E minor (1#), E major (4#), C# minor (4#), E major (4#), E minor (1#), A minor (0), C minor (3b), A minor (0), C minor (3b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), C minor (3b), A minor (0)
