 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 73+0:0:0:0:10
A minor (0), 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 61+0:0:0:0:14
F major (1b), 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 59+0:4:0:0:4
G major (1#), 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:4:0:0:1, 1+0:1:0:0:0, 1+0:1:0:0:0, 3+0:0:0:0:2, 1+0:1:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:4:0:0:1, 1+0:1:0:0:0, 1+0:1:0:0:0, 5+0:1:1:0:3, 1+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 74+0:43:1:0:13
D minor (1b), 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:3:0:0:1, 2+0:2:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:0, 2+0:2:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:1:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 48+0:22:1:0:8
E minor (1#), 4+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 68+0:7:1:0:8
Bb major (2b), 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 53+0:2:0:0:4
D major (2#), 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 4+0:0:1:0:3, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0,  , 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:1:0:1, 1+0:1:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 63+0:24:2:0:6
G minor (2b), 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0,  , 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0,  , 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 55+0:14:0:0:9
B minor (2#), 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 50+0:1:2:0:15
